X,Y,Z
-105.697361111244,39.65097222252792,3514.98779296875
-105.69680555568793,39.65097222252792,3541.8388671875
-105.69597222235382,39.65097222252792,3585.094482421875
-105.69541666679775,39.65097222252792,3608.80712890625
-105.69486111124168,39.65097222252792,3631.60009765625
-105.6943055556856,39.65097222252792,3655.826171875
-105.69375000012954,39.65097222252792,3690.494140625
-105.69319444457346,39.65097222252792,3717.958251953125
-105.69236111123935,39.65097222252792,3756.50927734375
-105.69180555568329,39.65097222252792,3763.349365234375
-105.69125000012721,39.65097222252792,3762.88330078125
-105.69069444457114,39.65097222252792,3756.67041015625
-105.69013888901506,39.65097222252792,3745.8759765625
-105.68930555568096,39.65097222252792,3725.923828125
-105.68875000012488,39.65097222252792,3713.113037109375
-105.68819444456881,39.65097222252792,3699.781494140625
-105.68763888901275,39.65097222252792,3685.72314453125
-105.68708333345667,39.65097222252792,3673.06591796875
-105.6865277779006,39.65097222252792,3659.487060546875
-105.6856944445665,39.65097222252792,3634.88916015625
-105.68513888901042,39.65097222252792,3614.528076171875
-105.68458333345434,39.65097222252792,3599.161376953125
-105.68402777789828,39.65097222252792,3588.135009765625
-105.6834722223422,39.65097222252792,3574.22802734375
-105.68291666678613,39.65097222252792,3557.989990234375
-105.68208333345203,39.65097222252792,3531.663330078125
-105.68152777789595,39.65097222252792,3517.128662109375
-105.68097222233988,39.65097222252792,3502.60107421875
-105.68041666678381,39.65097222252792,3489.05859375
-105.67986111122774,39.65097222252792,3474.54736328125
-105.67902777789362,39.65097222252792,3449.094482421875
-105.67847222233756,39.65097222252792,3430.9765625
-105.67791666678148,39.65097222252792,3413.872314453125
-105.67736111122541,39.65097222252792,3398.419921875
-105.67680555566933,39.65097222252792,3387.39013671875
-105.67625000011327,39.65097222252792,3376.857421875
-105.67541666677916,39.65097222252792,3366.181396484375
-105.67486111122308,39.65097222252792,3361.87158203125
-105.67430555566702,39.65097222252792,3357.83349609375
-105.67375000011094,39.65097222252792,3352.802734375
-105.67319444455487,39.65097222252792,3347.978515625
-105.67236111122077,39.65097222252792,3345.74609375
-105.67180555566469,39.65097222252792,3335.8251953125
-105.67125000010861,39.65097222252792,3319.157470703125
-105.67069444455255,39.65097222252792,3288.47216796875
-105.67013888899648,39.65097222252792,3278.081298828125
-105.6695833334404,39.65097222252792,3256.297119140625
-105.6687500001063,39.65097222252792,3221.55419921875
-105.66819444455022,39.65097222252792,3211.398193359375
-105.66763888899415,39.65097222252792,3207.321533203125
-105.66708333343809,39.65097222252792,3204.7578125
-105.66652777788201,39.65097222252792,3209.8837890625
-105.66597222232593,39.65097222252792,3219.876708984375
-105.66513888899183,39.65097222252792,3252.4775390625
-105.66458333343576,39.65097222252792,3264.676513671875
-105.66402777787968,39.65097222252792,3272.376953125
-105.6634722223236,39.65097222252792,3285.32421875
-105.66291666676754,39.65097222252792,3308.8037109375
-105.66208333343343,39.65097222252792,3340.906494140625
-105.66152777787735,39.65097222252792,3358.635009765625
-105.66097222232129,39.65097222252792,3373.93212890625
-105.66041666676522,39.65097222252792,3387.47900390625
-105.65986111120914,39.65097222252792,3399.265380859375
-105.65930555565308,39.65097222252792,3408.726806640625
-105.65847222231896,39.65097222252792,3422.508544921875
-105.65791666676289,39.65097222252792,3435.3662109375
-105.65736111120682,39.65097222252792,3448.333740234375
-105.65680555565075,39.65097222252792,3463.27783203125
-105.65625000009467,39.65097222252792,3478.765380859375
-105.65541666676057,39.65097222252792,3501.708251953125
-105.6548611112045,39.65097222252792,3516.9208984375
-105.65430555564842,39.65097222252792,3530.377685546875
-105.65375000009236,39.65097222252792,3541.907958984375
-105.65319444453628,39.65097222252792,3543.673095703125
-105.6526388889802,39.65097222252792,3539.075439453125
-105.6518055556461,39.65097222252792,3539.145263671875
-105.65125000009003,39.65097222252792,3541.067138671875
-105.65069444453395,39.65097222252792,3547.027587890625
-105.65013888897788,39.65097222252792,3543.180419921875
-105.64958333342182,39.65097222252792,3536.404296875
-105.64902777786574,39.65097222252792,3533.8994140625
